Water (400mA 10ms)

Labels,Decay60,Decay60F1,Decay60F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.01E07,1.01E07,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

2.79E07,1.702E+4,1.716E+4,-1.030E+0,
2.8E07,1.703E+4,1.704E+4,-8.682E-2,
2.81E07,1.700E+4,1.693E+4,4.891E-1,
2.82E07,1.646E+4,1.682E+4,-2.845E+0,
2.83E07,1.690E+4,1.671E+4,1.418E+0,
2.84E07,1.644E+4,1.660E+4,-1.297E+0,
2.85E07,1.659E+4,1.650E+4,7.090E-1,
2.86E07,1.621E+4,1.639E+4,-1.382E+0,
2.87E07,1.622E+4,1.628E+4,-4.720E-1,
2.88E07,1.602E+4,1.618E+4,-1.297E+0,
2.89E07,1.610E+4,1.607E+4,2.052E-1,
2.9E07,1.600E+4,1.597E+4,1.848E-1,
2.91E07,1.573E+4,1.587E+4,-1.117E+0,
2.92E07,1.568E+4,1.577E+4,-6.905E-1,
2.93E07,1.576E+4,1.567E+4,7.519E-1,
2.94E07,1.568E+4,1.557E+4,9.218E-1,
2.95E07,1.536E+4,1.547E+4,-9.064E-1,
2.96E07,1.539E+4,1.537E+4,1.864E-1,
2.97E07,1.533E+4,1.527E+4,4.426E-1,
2.98E07,1.535E+4,1.517E+4,1.442E+0,
2.99E07,1.503E+4,1.508E+4,-3.935E-1,
3E07,1.526E+4,1.498E+4,2.211E+0,
3.01E07,1.503E+4,1.489E+4,1.163E+0,
3.02E07,1.456E+4,1.479E+4,-1.952E+0,
3.03E07,1.480E+4,1.470E+4,7.686E-1,
3.04E07,1.464E+4,1.461E+4,2.379E-1,
3.05E07,1.448E+4,1.452E+4,-3.296E-1,
3.06E07,1.440E+4,1.443E+4,-1.903E-1,
3.07E07,1.440E+4,1.434E+4,5.105E-1,
3.08E07,1.433E+4,1.425E+4,6.569E-1,
3.09E07,1.399E+4,1.416E+4,-1.469E+0,
3.1E07,1.417E+4,1.407E+4,8.587E-1,
3.11E07,1.400E+4,1.398E+4,1.222E-1,
3.12E07,1.366E+4,1.390E+4,-2.002E+0,
3.13E07,1.372E+4,1.381E+4,-7.526E-1,
3.14E07,1.367E+4,1.373E+4,-4.876E-1,
3.15E07,1.364E+4,1.364E+4,-3.034E-2,
3.16E07,1.346E+4,1.356E+4,-8.599E-1,
3.17E07,1.342E+4,1.347E+4,-4.370E-1,
3.18E07,1.348E+4,1.339E+4,7.821E-1,
3.19E07,1.334E+4,1.331E+4,2.304E-1,
3.2E07,1.322E+4,1.323E+4,-6.318E-2,
3.21E07,1.295E+4,1.315E+4,-1.720E+0,
3.22E07,1.332E+4,1.307E+4,2.149E+0,
3.23E07,1.292E+4,1.299E+4,-6.402E-1,
3.24E07,1.304E+4,1.291E+4,1.102E+0,
3.25E07,1.288E+4,1.283E+4,4.030E-1,
3.26E07,1.250E+4,1.276E+4,-2.280E+0,
3.27E07,1.257E+4,1.268E+4,-9.748E-1,
3.28E07,1.251E+4,1.260E+4,-8.245E-1,
3.29E07,1.260E+4,1.253E+4,6.080E-1,
3.3E07,1.258E+4,1.245E+4,1.142E+0,
3.31E07,1.250E+4,1.238E+4,1.067E+0,
3.32E07,1.191E+4,1.231E+4,-3.610E+0,
3.33E07,1.223E+4,1.223E+4,9.421E-3,
3.34E07,1.213E+4,1.216E+4,-2.313E-1,
3.35E07,1.188E+4,1.209E+4,-1.923E+0,
3.36E07,1.211E+4,1.202E+4,8.064E-1,
3.37E07,1.192E+4,1.195E+4,-2.247E-1,
3.38E07,1.177E+4,1.188E+4,-9.711E-1,
3.39E07,1.178E+4,1.181E+4,-2.464E-1,
3.4E07,1.169E+4,1.174E+4,-4.226E-1,
3.41E07,1.182E+4,1.167E+4,1.424E+0,
3.42E07,1.164E+4,1.160E+4,3.500E-1,
3.43E07,1.152E+4,1.153E+4,-1.663E-1,
3.44E07,1.148E+4,1.147E+4,1.495E-1,
3.45E07,1.119E+4,1.140E+4,-1.991E+0,
3.46E07,1.121E+4,1.133E+4,-1.132E+0,
3.47E07,1.124E+4,1.127E+4,-2.792E-1,
3.48E07,1.113E+4,1.120E+4,-6.810E-1,
3.49E07,1.096E+4,1.114E+4,-1.716E+0,
3.5E07,1.118E+4,1.108E+4,1.013E+0,
3.51E07,1.100E+4,1.101E+4,-1.309E-1,
3.52E07,1.095E+4,1.095E+4,-4.824E-2,
3.53E07,1.104E+4,1.089E+4,1.448E+0,
3.54E07,1.081E+4,1.083E+4,-1.749E-1,
3.55E07,1.066E+4,1.076E+4,-1.027E+0,
3.56E07,1.077E+4,1.070E+4,5.851E-1,
3.57E07,1.068E+4,1.064E+4,3.862E-1,
3.58E07,1.054E+4,1.058E+4,-4.125E-1,
3.59E07,1.030E+4,1.053E+4,-2.268E+0,
3.6E07,1.043E+4,1.047E+4,-3.656E-1,
3.61E07,1.042E+4,1.041E+4,7.808E-2,
3.62E07,1.029E+4,1.035E+4,-5.539E-1,
3.63E07,1.039E+4,1.029E+4,9.142E-1,
3.64E07,1.020E+4,1.024E+4,-3.458E-1,
3.65E07,1.011E+4,1.018E+4,-6.909E-1,
3.66E07,1.021E+4,1.012E+4,8.662E-1,
3.67E07,1.001E+4,1.007E+4,-5.589E-1,
3.68E07,1.011E+4,1.001E+4,9.764E-1,
3.69E07,9.853E+3,9.958E+3,-1.059E+0,
3.7E07,1.006E+4,9.904E+3,1.566E+0,
3.71E07,9.921E+3,9.850E+3,7.113E-1,
3.72E07,9.747E+3,9.797E+3,-5.044E-1,
3.73E07,9.943E+3,9.744E+3,1.997E+0,
3.74E07,9.638E+3,9.691E+3,-5.437E-1,
3.75E07,9.783E+3,9.639E+3,1.453E+0,
3.76E07,9.532E+3,9.588E+3,-5.698E-1,
3.77E07,9.596E+3,9.536E+3,6.086E-1,
3.78E07,9.634E+3,9.486E+3,1.512E+0,
3.79E07,9.496E+3,9.435E+3,6.247E-1,
3.8E07,9.343E+3,9.385E+3,-4.356E-1,
3.81E07,9.401E+3,9.335E+3,6.757E-1,
3.82E07,9.324E+3,9.286E+3,3.909E-1,
3.83E07,9.342E+3,9.237E+3,1.082E+0,
3.84E07,9.228E+3,9.189E+3,4.060E-1,
3.85E07,9.201E+3,9.141E+3,6.260E-1,
3.86E07,9.078E+3,9.093E+3,-1.604E-1,
3.87E07,9.160E+3,9.046E+3,1.191E+0,
3.88E07,9.036E+3,8.999E+3,3.881E-1,
3.89E07,9.022E+3,8.953E+3,7.308E-1,
3.9E07,8.983E+3,8.906E+3,8.078E-1,
3.91E07,8.801E+3,8.861E+3,-6.360E-1,
3.92E07,8.912E+3,8.815E+3,1.025E+0,
3.93E07,8.656E+3,8.770E+3,-1.227E+0,
