Air (400mA)

Labels,Decay49,Decay49F1,Decay49F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

2.07E07,4.935E+3,4.955E+3,-2.876E-1,
2.08E07,4.846E+3,4.940E+3,-1.357E+0,
2.09E07,4.937E+3,4.926E+3,1.583E-1,
2.1E07,4.906E+3,4.911E+3,-7.700E-2,
2.11E07,4.907E+3,4.897E+3,1.424E-1,
2.12E07,4.917E+3,4.883E+3,4.880E-1,
2.13E07,4.876E+3,4.869E+3,1.054E-1,
2.14E07,4.831E+3,4.855E+3,-3.399E-1,
2.15E07,4.827E+3,4.841E+3,-1.974E-1,
2.16E07,4.961E+3,4.827E+3,1.904E+0,
2.17E07,4.794E+3,4.813E+3,-2.779E-1,
2.18E07,4.729E+3,4.800E+3,-1.028E+0,
2.19E07,4.788E+3,4.786E+3,2.583E-2,
2.2E07,4.780E+3,4.773E+3,1.032E-1,
2.21E07,4.735E+3,4.760E+3,-3.578E-1,
2.22E07,4.868E+3,4.746E+3,1.742E+0,
2.23E07,4.742E+3,4.733E+3,1.241E-1,
2.24E07,4.814E+3,4.721E+3,1.347E+0,
2.25E07,4.639E+3,4.708E+3,-1.009E+0,
2.26E07,4.691E+3,4.695E+3,-5.838E-2,
2.27E07,4.725E+3,4.682E+3,6.199E-1,
2.28E07,4.693E+3,4.670E+3,3.375E-1,
2.29E07,4.601E+3,4.657E+3,-8.325E-1,
2.3E07,4.591E+3,4.645E+3,-7.994E-1,
2.31E07,4.631E+3,4.633E+3,-2.874E-2,
2.32E07,4.782E+3,4.621E+3,2.330E+0,
2.33E07,4.584E+3,4.609E+3,-3.669E-1,
2.34E07,4.587E+3,4.597E+3,-1.465E-1,
2.35E07,4.463E+3,4.585E+3,-1.828E+0,
2.36E07,4.621E+3,4.573E+3,7.004E-1,
2.37E07,4.393E+3,4.562E+3,-2.546E+0,
2.38E07,4.483E+3,4.550E+3,-1.004E+0,
2.39E07,4.585E+3,4.539E+3,6.824E-1,
2.4E07,4.546E+3,4.527E+3,2.751E-1,
2.41E07,4.572E+3,4.516E+3,8.253E-1,
2.42E07,4.574E+3,4.505E+3,1.020E+0,
2.43E07,4.396E+3,4.494E+3,-1.478E+0,
2.44E07,4.408E+3,4.483E+3,-1.129E+0,
2.45E07,4.464E+3,4.472E+3,-1.211E-1,
2.46E07,4.540E+3,4.461E+3,1.168E+0,
2.47E07,4.521E+3,4.451E+3,1.047E+0,
2.48E07,4.369E+3,4.440E+3,-1.073E+0,
2.49E07,4.435E+3,4.429E+3,8.405E-2,
2.5E07,4.381E+3,4.419E+3,-5.733E-1,
2.51E07,4.381E+3,4.409E+3,-4.166E-1,
2.52E07,4.410E+3,4.398E+3,1.764E-1,
2.53E07,4.508E+3,4.388E+3,1.786E+0,
2.54E07,4.410E+3,4.378E+3,4.825E-1,
2.55E07,4.416E+3,4.368E+3,7.236E-1,
2.56E07,4.331E+3,4.358E+3,-4.096E-1,
2.57E07,4.343E+3,4.348E+3,-7.709E-2,
2.58E07,4.297E+3,4.338E+3,-6.298E-1,
2.59E07,4.478E+3,4.329E+3,2.233E+0,
2.6E07,4.262E+3,4.319E+3,-8.720E-1,
2.61E07,4.356E+3,4.309E+3,7.066E-1,
2.62E07,4.209E+3,4.300E+3,-1.401E+0,
2.63E07,4.312E+3,4.290E+3,3.278E-1,
2.64E07,4.274E+3,4.281E+3,-1.092E-1,
2.65E07,4.273E+3,4.272E+3,1.702E-2,
2.66E07,4.093E+3,4.263E+3,-2.653E+0,
2.67E07,4.245E+3,4.254E+3,-1.320E-1,
2.68E07,4.297E+3,4.245E+3,7.998E-1,
