Water (400mA 1ms)

Labels,Decay63,Decay63F1,Decay63F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

3.27E07,3.901E+3,3.819E+3,1.314E+0,
3.28E07,3.888E+3,3.814E+3,1.193E+0,
3.29E07,3.878E+3,3.808E+3,1.118E+0,
3.3E07,3.839E+3,3.803E+3,5.789E-1,
3.31E07,3.933E+3,3.798E+3,2.153E+0,
3.32E07,3.801E+3,3.793E+3,1.327E-1,
3.33E07,3.791E+3,3.788E+3,5.320E-2,
3.34E07,3.760E+3,3.783E+3,-3.697E-1,
3.35E07,3.809E+3,3.778E+3,5.078E-1,
3.36E07,3.724E+3,3.773E+3,-7.979E-1,
3.37E07,3.686E+3,3.768E+3,-1.347E+0,
3.38E07,3.753E+3,3.763E+3,-1.612E-1,
3.39E07,3.757E+3,3.758E+3,-1.679E-2,
3.4E07,3.914E+3,3.753E+3,2.570E+0,
3.41E07,3.700E+3,3.748E+3,-7.966E-1,
3.42E07,3.705E+3,3.744E+3,-6.362E-1,
3.43E07,3.774E+3,3.739E+3,5.691E-1,
3.44E07,3.746E+3,3.734E+3,1.898E-1,
3.45E07,3.757E+3,3.730E+3,4.442E-1,
3.46E07,3.777E+3,3.725E+3,8.429E-1,
3.47E07,3.717E+3,3.721E+3,-6.004E-2,
3.48E07,3.715E+3,3.716E+3,-1.904E-2,
3.49E07,3.587E+3,3.712E+3,-2.082E+0,
3.5E07,3.750E+3,3.707E+3,6.977E-1,
3.51E07,3.609E+3,3.703E+3,-1.563E+0,
3.52E07,3.711E+3,3.699E+3,2.047E-1,
3.53E07,3.754E+3,3.694E+3,9.758E-1,
3.54E07,3.664E+3,3.690E+3,-4.284E-1,
3.55E07,3.719E+3,3.686E+3,5.463E-1,
3.56E07,3.746E+3,3.681E+3,1.054E+0,
