Water (400mA)

Labels,Decay36,Decay36F1,Decay36F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

2.56E07,3.860E+3,3.827E+3,5.294E-1,
2.57E07,3.868E+3,3.821E+3,7.564E-1,
2.58E07,3.757E+3,3.815E+3,-9.439E-1,
2.59E07,3.799E+3,3.809E+3,-1.591E-1,
2.6E07,3.795E+3,3.803E+3,-1.266E-1,
2.61E07,3.772E+3,3.797E+3,-4.046E-1,
2.62E07,3.827E+3,3.791E+3,5.829E-1,
2.63E07,3.737E+3,3.785E+3,-7.866E-1,
2.64E07,3.735E+3,3.779E+3,-7.245E-1,
2.65E07,3.836E+3,3.774E+3,1.009E+0,
2.66E07,3.725E+3,3.768E+3,-7.013E-1,
2.67E07,3.749E+3,3.762E+3,-2.145E-1,
2.68E07,3.755E+3,3.757E+3,-2.467E-2,
2.69E07,3.740E+3,3.751E+3,-1.788E-1,
2.7E07,3.789E+3,3.745E+3,7.082E-1,
2.71E07,3.709E+3,3.740E+3,-5.077E-1,
2.72E07,3.574E+3,3.734E+3,-2.684E+0,
2.73E07,3.815E+3,3.729E+3,1.391E+0,
2.74E07,3.719E+3,3.724E+3,-7.765E-2,
2.75E07,3.768E+3,3.718E+3,8.076E-1,
2.76E07,3.757E+3,3.713E+3,7.152E-1,
2.77E07,3.800E+3,3.708E+3,1.493E+0,
2.78E07,3.671E+3,3.703E+3,-5.243E-1,
2.79E07,3.738E+3,3.698E+3,6.603E-1,
2.8E07,3.782E+3,3.693E+3,1.455E+0,
2.81E07,3.585E+3,3.687E+3,-1.712E+0,
2.82E07,3.745E+3,3.682E+3,1.022E+0,
2.83E07,3.684E+3,3.678E+3,1.071E-1,
2.84E07,3.724E+3,3.673E+3,8.428E-1,
2.85E07,3.731E+3,3.668E+3,1.037E+0,
2.86E07,3.802E+3,3.663E+3,2.257E+0,
2.87E07,3.628E+3,3.658E+3,-4.984E-1,
2.88E07,3.636E+3,3.653E+3,-2.861E-1,
2.89E07,3.669E+3,3.649E+3,3.381E-1,
2.9E07,3.531E+3,3.644E+3,-1.899E+0,
2.91E07,3.565E+3,3.639E+3,-1.242E+0,
2.92E07,3.635E+3,3.635E+3,7.333E-3,
2.93E07,3.629E+3,3.630E+3,-1.626E-2,
2.94E07,3.656E+3,3.625E+3,5.054E-1,
2.95E07,3.684E+3,3.621E+3,1.039E+0,
2.96E07,3.666E+3,3.616E+3,8.181E-1,
2.97E07,3.663E+3,3.612E+3,8.421E-1,
2.98E07,3.642E+3,3.608E+3,5.693E-1,
2.99E07,3.607E+3,3.603E+3,6.188E-2,
3E07,3.582E+3,3.599E+3,-2.834E-1,
3.01E07,3.675E+3,3.595E+3,1.325E+0,
3.02E07,3.709E+3,3.590E+3,1.947E+0,
3.03E07,3.572E+3,3.586E+3,-2.376E-1,
3.04E07,3.550E+3,3.582E+3,-5.374E-1,
3.05E07,3.629E+3,3.578E+3,8.487E-1,
3.06E07,3.616E+3,3.574E+3,7.025E-1,
3.07E07,3.461E+3,3.570E+3,-1.847E+0,
3.08E07,3.488E+3,3.566E+3,-1.314E+0,
3.09E07,3.578E+3,3.562E+3,2.740E-1,
3.1E07,3.557E+3,3.558E+3,-1.055E-2,
3.11E07,3.504E+3,3.554E+3,-8.393E-1,
3.12E07,3.698E+3,3.550E+3,2.438E+0,
3.13E07,3.584E+3,3.546E+3,6.368E-1,
3.14E07,3.606E+3,3.542E+3,1.065E+0,
3.15E07,3.506E+3,3.538E+3,-5.438E-1,
3.16E07,3.585E+3,3.534E+3,8.449E-1,
3.17E07,3.583E+3,3.531E+3,8.746E-1,
3.18E07,3.482E+3,3.527E+3,-7.613E-1,
3.19E07,3.495E+3,3.523E+3,-4.774E-1,
3.2E07,3.436E+3,3.520E+3,-1.425E+0,
3.21E07,3.614E+3,3.516E+3,1.632E+0,
3.22E07,3.504E+3,3.512E+3,-1.403E-1,
3.23E07,3.560E+3,3.509E+3,8.593E-1,
3.24E07,3.521E+3,3.505E+3,2.666E-1,
3.25E07,3.570E+3,3.502E+3,1.144E+0,
3.26E07,3.498E+3,3.498E+3,-2.799E-3,
3.27E07,3.634E+3,3.495E+3,2.311E+0,
3.28E07,3.458E+3,3.491E+3,-5.657E-1,
3.29E07,3.559E+3,3.488E+3,1.192E+0,
3.3E07,3.559E+3,3.484E+3,1.249E+0,
3.31E07,3.560E+3,3.481E+3,1.322E+0,
3.32E07,3.528E+3,3.478E+3,8.451E-1,
3.33E07,3.462E+3,3.475E+3,-2.126E-1,
3.34E07,3.565E+3,3.471E+3,1.570E+0,
3.35E07,3.556E+3,3.468E+3,1.476E+0,
3.36E07,3.446E+3,3.465E+3,-3.199E-1,
3.37E07,3.463E+3,3.462E+3,2.403E-2,
3.38E07,3.411E+3,3.458E+3,-8.120E-1,
3.39E07,3.446E+3,3.455E+3,-1.581E-1,
3.4E07,3.422E+3,3.452E+3,-5.157E-1,
3.41E07,3.560E+3,3.449E+3,1.859E+0,
3.42E07,3.568E+3,3.446E+3,2.042E+0,
3.43E07,3.520E+3,3.443E+3,1.298E+0,
3.44E07,3.526E+3,3.440E+3,1.449E+0,
3.45E07,3.466E+3,3.437E+3,4.929E-1,
3.46E07,3.386E+3,3.434E+3,-8.252E-1,
3.47E07,3.346E+3,3.431E+3,-1.471E+0,
3.48E07,3.424E+3,3.428E+3,-7.118E-2,
3.49E07,3.364E+3,3.425E+3,-1.056E+0,
3.5E07,3.436E+3,3.422E+3,2.319E-1,
3.51E07,3.485E+3,3.420E+3,1.108E+0,
3.52E07,3.480E+3,3.417E+3,1.072E+0,
3.53E07,3.425E+3,3.414E+3,1.889E-1,
3.54E07,3.420E+3,3.411E+3,1.510E-1,
3.55E07,3.364E+3,3.408E+3,-7.658E-1,
3.56E07,3.467E+3,3.406E+3,1.041E+0,
3.57E07,3.434E+3,3.403E+3,5.294E-1,
3.58E07,3.379E+3,3.400E+3,-3.663E-1,
3.59E07,3.440E+3,3.398E+3,7.224E-1,
3.6E07,3.424E+3,3.395E+3,4.958E-1,
3.61E07,3.322E+3,3.392E+3,-1.221E+0,
3.62E07,3.398E+3,3.390E+3,1.412E-1,
3.63E07,3.495E+3,3.387E+3,1.824E+0,
3.64E07,3.380E+3,3.385E+3,-7.972E-2,
3.65E07,3.331E+3,3.382E+3,-8.854E-1,
3.66E07,3.358E+3,3.380E+3,-3.725E-1,
3.67E07,3.504E+3,3.377E+3,2.144E+0,
3.68E07,3.319E+3,3.375E+3,-9.654E-1,
3.69E07,3.278E+3,3.372E+3,-1.645E+0,
3.7E07,3.389E+3,3.370E+3,3.310E-1,
3.71E07,3.376E+3,3.367E+3,1.495E-1,
3.72E07,3.336E+3,3.365E+3,-5.007E-1,
3.73E07,3.363E+3,3.363E+3,7.797E-3,
3.74E07,3.495E+3,3.360E+3,2.280E+0,
3.75E07,3.371E+3,3.358E+3,2.264E-1,
3.76E07,3.369E+3,3.356E+3,2.319E-1,
3.77E07,3.367E+3,3.353E+3,2.371E-1,
3.78E07,3.266E+3,3.351E+3,-1.487E+0,
3.79E07,3.388E+3,3.349E+3,6.751E-1,
3.8E07,3.274E+3,3.346E+3,-1.266E+0,
3.81E07,3.405E+3,3.344E+3,1.041E+0,
3.82E07,3.331E+3,3.342E+3,-1.912E-1,
3.83E07,3.326E+3,3.340E+3,-2.401E-1,
3.84E07,3.347E+3,3.338E+3,1.611E-1,
3.85E07,3.299E+3,3.336E+3,-6.359E-1,
3.86E07,3.375E+3,3.333E+3,7.162E-1,
3.87E07,3.383E+3,3.331E+3,8.893E-1,
3.88E07,3.437E+3,3.329E+3,1.839E+0,
3.89E07,3.390E+3,3.327E+3,1.080E+0,
3.9E07,3.481E+3,3.325E+3,2.644E+0,
3.91E07,3.336E+3,3.323E+3,2.254E-1,
3.92E07,3.277E+3,3.321E+3,-7.677E-1,
3.93E07,3.291E+3,3.319E+3,-4.869E-1,
3.94E07,3.402E+3,3.317E+3,1.458E+0,
